sample_id,round,variant,implementation,value_type,footprint_bytes,passes,elapsed_ns,checksum,expected_checksum,pmu_cycles,pmu_instructions,pmu_ref_cycles,pmu_time_enabled,pmu_time_running,pmu_available
r01-o015-cpp-avx2-float-67108864,1,cpp,avx2,float,67108864,32,166007901,0,0,364362459,268437351,364362482,166042575,166042575,1
r01-o016-go-scalar-float-262144,1,go,scalar,float,262144,8192,736234218,0,0,1610865582,2684484337,1610866026,735343209,735343209,true
r01-o017-c-avx2-int-67108864,1,c,avx2,int,67108864,32,161038374,536870912,536870912,353469945,268436689,353469952,161073340,161073340,1
r01-o018-cpp_unroll-u1-double-262144,1,cpp_unroll,u1,double,262144,8192,366906483,0,0,805332961,1073799441,805332968,366935677,366935677,1
r01-o019-rust-scalar-double-8388608,1,rust,scalar,double,8388608,256,393694893,0,0,864132108,1073743387,864132126,393729871,393729871,1
r01-o020-cpp-avx2-string16-67108864,1,cpp,avx2,string16,67108864,32,165318230,2147483648,2147483648,362477700,469763175,362477742,165206172,165206172,1
r01-o021-clangpp-scalar-double-262144,1,clangpp,scalar,double,262144,8192,366923300,0,0,805371513,369173690,805371512,366954047,366954047,1
r01-o022-c-scalar-float-32768,1,c,scalar,float,32768,65536,733988435,0,0,1610676133,2147942758,1610676144,733872988,733872988,1
r01-o023-c-scalar-short-262144,1,c,scalar,short,262144,8192,633793069,0,0,1391126569,4295008557,1391126572,633820872,633820872,1
r01-o024-c-avx2-double-262144,1,c,avx2,double,262144,8192,92639700,0,0,202958453,268607875,202958448,92525260,92525260,1
r01-o025-cpp-avx2-short-67108864,1,cpp,avx2,short,67108864,32,161086652,0,0,353576566,268437206,353576586,161122325,161122325,1
r01-o026-cpp_unroll-u1-float-67108864,1,cpp_unroll,u1,float,67108864,32,766178516,0,0,1681312280,2147484147,1681312270,766063184,766063184,1
r01-o027-clangpp-scalar-short-67108864,1,clangpp,scalar,short,67108864,32,534207676,0,0,1172547895,1476396429,1172547904,534244653,534244653,1
r01-o028-rust_unroll-u1-double-67108864,1,rust_unroll,u1,double,67108864,32,401641720,0,0,881196600,1073742270,881196624,401531652,401531652,1
r01-o029-c-avx2-int-1048576,1,c,avx2,int,1048576,2048,76802682,536870912,536870912,168578753,268491121,168578762,76830818,76830818,1
r01-o030-rust-scalar-string16-32768,1,rust,scalar,string16,32768,65536,554462803,2147483648,2147483648,1217003265,4698145045,1217003260,554491125,554491125,1
r01-o031-cpp_native-scalar-string16-67108864,1,cpp_native,scalar,string16,67108864,32,709686570,2147483648,2147483648,1557325324,4697620976,1557325330,709574581,709574581,1
r01-o032-clangpp-scalar-string16-8388608,1,clangpp,scalar,string16,8388608,256,700836014,2147483648,2147483648,1537890722,4697623223,1537890684,700721942,700721942,1
r01-o033-c-avx2-int-8388608,1,c,avx2,int,8388608,256,118677831,536870912,536870912,260491882,268442737,260491880,118711211,118711211,1
r01-o034-rust-avx2-short-67108864,1,rust,avx2,short,67108864,32,164533876,0,0,361142069,402654840,361142078,164568544,164568544,1
r01-o035-cpp-avx2-string16-8388608,1,cpp,avx2,string16,8388608,256,144544249,2147483648,2147483648,317266970,469768325,317266950,144579136,144579136,1
r01-o036-go-scalar-short-1048576,1,go,scalar,short,1048576,2048,737793575,0,0,1614002727,5368784359,1614003666,736785031,736785031,true
r01-o037-cpp-avx2-float-262144,1,cpp,avx2,float,262144,8192,92343383,0,0,202674073,268829031,202674032,92371884,92371884,1
r01-o038-cpp-scalar-string16-8388608,1,cpp,scalar,string16,8388608,256,951650775,2147483648,2147483648,2088421972,4831840640,2088421984,951541548,951541548,1
r01-o039-clangpp-scalar-short-8388608,1,clangpp,scalar,short,8388608,256,528550872,0,0,1159727844,1476398447,1159727822,528430542,528430542,1
r01-o040-c-avx2-string16-8388608,1,c,avx2,string16,8388608,256,157380478,2147483648,2147483648,345441058,469768325,345441074,157415818,157415818,1
r01-o041-clangpp-scalar-string16-32768,1,clangpp,scalar,string16,32768,65536,555502350,2147483648,2147483648,1219286746,4698014901,1219286728,555533048,555533048,1
r01-o042-cpp_unroll-u2-float-1048576,1,cpp_unroll,u2,float,1048576,2048,733994581,0,0,1610687626,1610633492,1610687628,733881275,733881275,1
r01-o043-cpp-avx2-int-32768,1,cpp,avx2,int,32768,65536,36228440,536870912,536870912,79521728,270205297,79521750,36255899,36255899,1
r01-o044-cpp-avx2-double-8388608,1,cpp,avx2,double,8388608,256,143178092,0,0,314253320,268441217,314253280,143213673,143213673,1
r01-o045-rust_unroll-u8-float-8388608,1,rust_unroll,u8,float,8388608,256,755795829,0,0,1658535351,2415921690,1658535340,755686061,755686061,1
r01-o046-cpp_unroll-u2-double-1048576,1,cpp_unroll,u2,double,1048576,2048,366928559,0,0,805381844,671107356,805381830,366958855,366958855,1
r01-o047-go-scalar-int-8388608,1,go,scalar,int,8388608,256,416661205,536870912,536870912,908880273,2684792565,908880148,415818820,415818820,true
r01-o048-cpp-scalar-int-8388608,1,cpp,scalar,int,8388608,256,354758881,536870912,536870912,778670396,2147485257,778670376,354794347,354794347,1
r01-o049-go-scalar-int-67108864,1,go,scalar,int,67108864,32,425155525,536870912,536870912,928509632,2684389505,928509670,424302390,424302390,true
r01-o050-go-scalar-short-32768,1,go,scalar,short,32768,65536,701150258,0,0,1534105288,5369290744,1534106354,700290071,700290071,true
r01-o051-cpp-avx2-double-32768,1,cpp,avx2,double,32768,65536,90299920,0,0,198188560,269812097,198188584,90325933,90325933,1
r01-o052-cpp_native-scalar-float-1048576,1,cpp_native,scalar,float,1048576,2048,733963427,0,0,1610624228,1342198035,1610624246,733846793,733846793,1
r01-o053-cpp_unroll-u8-double-262144,1,cpp_unroll,u8,double,262144,8192,367061845,0,0,805314564,369172766,805314598,366947801,366947801,1
r01-o054-cpp_unroll-u8-float-8388608,1,cpp_unroll,u8,float,8388608,256,741325335,0,0,1627152529,872418322,1627152516,741362175,741362175,1
r01-o055-rust-scalar-short-262144,1,rust,scalar,short,262144,8192,632955217,0,0,1388913945,4295008542,1388913966,632839097,632839097,1
r01-o056-rust-scalar-double-1048576,1,rust,scalar,double,1048576,2048,366997053,0,0,805531457,1073752347,805531474,367024802,367024802,1
r01-o057-cpp-scalar-short-1048576,1,cpp,scalar,short,1048576,2048,636340734,0,0,1396351219,4294977840,1396351198,636226337,636226337,1
r01-o058-rust-avx2-float-32768,1,rust,avx2,float,32768,65536,90709604,0,0,199086932,404291864,199086954,90735940,90735940,1
r01-o059-clangpp-scalar-int-1048576,1,clangpp,scalar,int,1048576,2048,247808322,536870912,536870912,543923787,738217095,543923776,247834771,247834771,1
r01-o060-rust-scalar-string16-67108864,1,rust,scalar,string16,67108864,32,712940851,2147483648,2147483648,1564466163,4697621016,1564466222,712830186,712830186,1
r01-o061-rust-avx2-short-32768,1,rust,avx2,short,32768,65536,62661445,0,0,137540422,405471512,137540436,62690620,62690620,1
r01-o062-cpp_native-scalar-int-262144,1,cpp_native,scalar,int,262144,8192,317431747,536870912,536870912,696740056,2147541264,696740044,317462355,317462355,1
r01-o063-go-scalar-int-1048576,1,go,scalar,int,1048576,2048,378050775,536870912,536870912,824505838,2684403334,824506166,376976844,376976844,true
r01-o064-c-avx2-short-262144,1,c,avx2,short,262144,8192,50994591,0,0,111932644,268788086,111932634,51025321,51025321,1
r01-o065-go-scalar-double-67108864,1,go,scalar,double,67108864,32,404003911,0,0,882509082,1342213105,882509122,403355224,403355224,true
r01-o066-rust_unroll-u1-double-8388608,1,rust_unroll,u1,double,8388608,256,399440382,0,0,876344467,1073743390,876344458,399323322,399323322,1
r01-o067-c-scalar-string16-8388608,1,c,scalar,string16,8388608,256,960563191,2147483648,2147483648,2107962578,4831840640,2107962582,960447895,960447895,1
r01-o068-cpp_unroll-u8-float-1048576,1,cpp_unroll,u8,float,1048576,2048,734034391,0,0,1611149004,872438034,1611148990,734067515,734067515,1
r01-o069-c-avx2-short-32768,1,c,avx2,short,32768,65536,37441008,0,0,81800619,271253880,81800620,37324310,37324310,1
r01-o070-clangpp-scalar-short-32768,1,clangpp,scalar,short,32768,65536,489721083,0,0,1074902664,1476985965,1074902664,489752828,489752828,1
r01-o071-cpp_native-scalar-string16-1048576,1,cpp_native,scalar,string16,1048576,2048,674069076,2147483648,2147483648,1479142088,4697635089,1479142104,673950063,673950063,1
r01-o072-cpp-scalar-int-32768,1,cpp,scalar,int,32768,65536,315279744,536870912,536870912,692016284,2147811657,692016270,315309574,315309574,1
r01-o073-cpp_unroll-u2-double-262144,1,cpp_unroll,u2,double,262144,8192,366962483,0,0,805455756,671162652,805455728,366994128,366994128,1
r01-o074-cpp_native-scalar-string16-32768,1,cpp_native,scalar,string16,32768,65536,557347553,2147483648,2147483648,1222944221,4698079505,1222944184,557226806,557226806,1
r01-o075-c-scalar-string16-67108864,1,c,scalar,string16,67108864,32,955351175,2147483648,2147483648,2096525378,4831838848,2096525398,955236842,955236842,1
r01-o076-cpp-avx2-double-1048576,1,cpp,avx2,double,1048576,2048,93263856,0,0,204694289,268478849,204694292,93293611,93293611,1
r01-o077-rust-avx2-int-262144,1,rust,avx2,int,262144,8192,78834201,536870912,536870912,173038286,402874649,173038294,78863721,78863721,1
r01-o078-rust_unroll-u8-float-32768,1,rust_unroll,u8,float,32768,65536,734061736,0,0,1610819759,2416509210,1610819782,733940881,733940881,1
r01-o079-cpp_unroll-u8-double-8388608,1,cpp_unroll,u8,double,8388608,256,378698315,0,0,831216189,369101340,831216166,378735903,378735903,1
r01-o080-rust-avx2-string16-67108864,1,rust,avx2,string16,67108864,32,170149796,2147483648,2147483648,373469082,536871832,373469052,170186887,170186887,1
r01-o081-clangpp-scalar-int-262144,1,clangpp,scalar,int,262144,8192,245464369,536870912,536870912,538779082,738272391,538779076,245494522,245494522,1
r01-o082-go-scalar-short-67108864,1,go,scalar,short,67108864,32,786342444,0,0,1717538414,5368772581,1717538658,784943980,784943980,true
r01-o083-cpp_native-scalar-short-32768,1,cpp_native,scalar,short,32768,65536,624069078,0,0,1369783742,4295426320,1369783756,624099315,624099315,1
r01-o084-cpp-avx2-short-8388608,1,cpp,avx2,short,8388608,256,138018982,0,0,302944332,268446838,302944334,138053878,138053878,1
r01-o085-rust-avx2-short-1048576,1,rust,avx2,short,1048576,2048,85268211,0,0,187160070,402741528,187160072,85297869,85297869,1
r01-o086-go-scalar-int-32768,1,go,scalar,int,32768,65536,410563552,536870912,536870912,897259346,2684914320,897260276,409797671,409797671,true
r01-o087-cpp_unroll-u1-double-32768,1,cpp_unroll,u1,double,32768,65536,367063488,0,0,805677452,1074200849,805677422,367092082,367092082,1
r01-o088-c-avx2-string16-262144,1,c,avx2,string16,262144,8192,69714308,2147483648,2147483648,153020561,469950853,153020560,69741943,69741943,1
r01-o089-rust_unroll-u1-double-262144,1,rust_unroll,u1,double,262144,8192,367086544,0,0,805356856,1073783070,805356860,366970836,366970836,1
r01-o090-cpp_native-scalar-int-32768,1,cpp_native,scalar,int,32768,65536,312011001,536870912,536870912,684841886,2147942672,684841872,312039945,312039945,1
r01-o091-cpp-scalar-string16-1048576,1,cpp,scalar,string16,1048576,2048,919753103,2147483648,2147483648,2018394122,4831854976,2018394114,919631723,919631723,1
r01-o092-rust-scalar-double-32768,1,rust,scalar,double,32768,65536,367484944,0,0,806602508,1074069787,806602500,367514397,367514397,1
r01-o093-c-scalar-int-32768,1,c,scalar,int,32768,65536,312185644,536870912,536870912,684844876,2147811658,684844886,312067393,312067393,1
r01-o094-c-avx2-float-1048576,1,c,avx2,float,1048576,2048,93548334,0,0,205318543,268534119,205318542,93576454,93576454,1
r01-o095-c-scalar-string16-262144,1,c,scalar,string16,262144,8192,917561579,2147483648,2147483648,2013596034,4831904128,2013596046,917444566,917444566,1
r01-o096-cpp-avx2-double-262144,1,cpp,avx2,double,262144,8192,92363172,0,0,202715973,268607873,202715986,92390947,92390947,1
r01-o097-rust-avx2-double-32768,1,rust,avx2,double,32768,65536,90670260,0,0,199000550,403767573,199000560,90696759,90696759,1
r01-o098-cpp-scalar-int-1048576,1,cpp,scalar,int,1048576,2048,318480722,536870912,536870912,699042441,2147494217,699042432,318509450,318509450,1
r01-o099-cpp_native-scalar-short-1048576,1,cpp_native,scalar,short,1048576,2048,636374370,0,0,1396415735,4294981906,1396415746,636260943,636260943,1
r01-o100-c-scalar-double-8388608,1,c,scalar,double,8388608,256,395472676,0,0,868033383,1073743999,868033342,395505706,395505706,1
r01-o101-rust_unroll-u2-float-8388608,1,rust_unroll,u2,float,8388608,256,760473411,0,0,1668801591,3221228312,1668801596,760363516,760363516,1
r01-o102-rust-scalar-int-67108864,1,rust,scalar,int,67108864,32,358087051,536870912,536870912,785975545,2147484092,785975542,358122451,358122451,1
r01-o103-rust-avx2-short-8388608,1,rust,avx2,short,8388608,256,139467597,0,0,305736151,402664474,305736156,139354484,139354484,1
r01-o104-rust-avx2-float-67108864,1,rust,avx2,float,67108864,32,168748789,0,0,370377339,402654264,370377326,168782079,168782079,1
r01-o105-rust-avx2-int-1048576,1,rust,avx2,int,1048576,2048,85184942,536870912,536870912,186977251,402708761,186977230,85213866,85213866,1
r01-o106-rust_unroll-u8-float-1048576,1,rust_unroll,u8,float,1048576,2048,734003433,0,0,1610694286,2415937818,1610694316,733883205,733883205,1
r01-o107-cpp_native-scalar-double-67108864,1,cpp_native,scalar,double,67108864,32,388719362,0,0,853211895,671089233,853211920,388756121,388756121,1
r01-o108-rust-scalar-int-262144,1,rust,scalar,int,262144,8192,315648997,536870912,536870912,692826909,2147524892,692826926,315678636,315678636,1
r01-o109-cpp-avx2-double-67108864,1,cpp,avx2,double,67108864,32,164288177,0,0,360198630,268436515,360198652,164178081,164178081,1
r01-o110-rust_unroll-u8-double-262144,1,rust_unroll,u8,double,262144,8192,366924910,0,0,805373150,1208033559,805373118,366954898,366954898,1
r01-o111-go-scalar-short-262144,1,go,scalar,short,262144,8192,734524405,0,0,1606817651,5368835256,1606818488,733490944,733490944,true
r01-o112-c-avx2-float-8388608,1,c,avx2,float,8388608,256,143571036,0,0,315115070,268448103,315115108,143606419,143606419,1
r01-o113-cpp-scalar-short-8388608,1,cpp,scalar,short,8388608,256,671721132,0,0,1473995945,4294968879,1473995952,671611058,671611058,1
r01-o114-c-avx2-double-67108864,1,c,avx2,double,67108864,32,164247799,0,0,360499521,268436513,360499480,164283837,164283837,1
r01-o115-cpp-scalar-string16-67108864,1,cpp,scalar,string16,67108864,32,954962882,2147483648,2147483648,2095693813,4831838847,2095693820,954846532,954846532,1
r01-o116-cpp_unroll-u1-float-1048576,1,cpp_unroll,u1,float,1048576,2048,733815205,0,0,1610666920,2147498257,1610666904,733844906,733844906,1
r01-o117-cpp-avx2-int-262144,1,cpp,avx2,int,262144,8192,62229496,536870912,536870912,136229532,268657011,136229522,62115776,62115776,1
r01-o118-cpp_unroll-u8-double-32768,1,cpp_unroll,u8,double,32768,65536,366923207,0,0,805369344,369688860,805369378,366951470,366951470,1
r01-o119-cpp_unroll-u2-float-8388608,1,cpp_unroll,u2,float,8388608,256,762993751,0,0,1674331813,1610615572,1674331824,762885276,762885276,1
r01-o120-rust-scalar-float-67108864,1,rust,scalar,float,67108864,32,765500365,0,0,1680214280,2147484092,1680214250,765535376,765535376,1
r01-o121-cpp-scalar-short-262144,1,cpp,scalar,short,262144,8192,634312966,0,0,1391907118,4295008559,1391907088,634201531,634201531,1
r01-o122-cpp_unroll-u2-double-67108864,1,cpp_unroll,u2,double,67108864,32,388590621,0,0,852537173,671089214,852537202,388478043,388478043,1
r01-o123-c-scalar-short-67108864,1,c,scalar,short,67108864,32,674194963,0,0,1479806338,4294967757,1479806328,674229783,674229783,1
r01-o124-cpp-scalar-double-32768,1,cpp,scalar,double,32768,65536,367111968,0,0,805409536,1074200961,805409550,366997148,366997148,1
r01-o125-cpp-scalar-double-1048576,1,cpp,scalar,double,1048576,2048,366922505,0,0,805367899,1073756543,805367926,366951632,366951632,1
r01-o126-rust-scalar-string16-1048576,1,rust,scalar,string16,1048576,2048,674711779,2147483648,2147483648,1480566368,4697637143,1480566384,674599279,674599279,1
r01-o127-c-scalar-int-262144,1,c,scalar,int,262144,8192,315421093,536870912,536870912,692326621,2147524937,692326646,315450579,315450579,1
r01-o128-c-avx2-short-67108864,1,c,avx2,short,67108864,32,160997611,0,0,353380602,268437206,353380610,161032606,161032606,1
r01-o129-go-scalar-double-8388608,1,go,scalar,double,8388608,256,399563390,0,0,871788523,1342617043,871788456,398754883,398754883,true
r01-o130-cpp-avx2-float-8388608,1,cpp,avx2,float,8388608,256,143311200,0,0,314544545,268448103,314544494,143346099,143346099,1
r01-o131-rust_unroll-u2-double-262144,1,rust_unroll,u2,double,262144,8192,366914933,0,0,805351587,1610694933,805351602,366944763,366944763,1
r01-o132-cpp-scalar-short-32768,1,cpp,scalar,short,32768,65536,623396178,0,0,1367930488,4295295279,1367930498,623279014,623279014,1
r01-o133-clangpp-scalar-double-1048576,1,clangpp,scalar,double,1048576,2048,366968840,0,0,805472017,369118394,805472008,366998894,366998894,1
r01-o134-rust-avx2-int-67108864,1,rust,avx2,int,67108864,32,164669073,536870912,536870912,361438824,402654329,361438814,164704042,164704042,1
r01-o135-c-scalar-short-1048576,1,c,scalar,short,1048576,2048,636161831,0,0,1395960569,4294977839,1395960610,636049901,636049901,1
r01-o136-clangpp-scalar-float-67108864,1,clangpp,scalar,float,67108864,32,754482686,0,0,1655651858,738198979,1655651844,754371478,754371478,1
r01-o137-c-scalar-string16-32768,1,c,scalar,string16,32768,65536,917797249,2147483648,2147483648,2014115981,4832362880,2014115994,917680802,917680802,1
r01-o138-cpp-avx2-int-1048576,1,cpp,avx2,int,1048576,2048,76723468,536870912,536870912,168405136,268491121,168405116,76751936,76751936,1
r01-o139-go-scalar-string16-67108864,1,go,scalar,string16,67108864,32,2311618749,2147483648,2147483648,5053057577,12616644494,5053058076,2307820159,2307820159,true
r01-o140-go-scalar-double-32768,1,go,scalar,double,32768,65536,368539431,0,0,805455536,1342734224,805456322,367855903,367855903,true
r01-o141-rust_unroll-u1-double-1048576,1,rust_unroll,u1,double,1048576,2048,366939451,0,0,805405449,1073752348,805405458,366969776,366969776,1
r01-o142-rust_unroll-u2-double-32768,1,rust_unroll,u2,double,32768,65536,366905897,0,0,805331259,1611268373,805331230,366934641,366934641,1
r01-o143-c-scalar-short-8388608,1,c,scalar,short,8388608,256,672937372,0,0,1476655862,4294968879,1476655906,672819137,672819137,1
r01-o144-cpp_unroll-u1-double-67108864,1,cpp_unroll,u1,double,67108864,32,387088128,0,0,849631413,1073742321,849631398,387125598,387125598,1
r01-o145-rust-scalar-double-67108864,1,rust,scalar,double,67108864,32,401193625,0,0,880204644,1073742269,880204644,401079517,401079517,1
r01-o146-c-avx2-float-32768,1,c,avx2,float,32768,65536,90755061,0,0,199187492,271581543,199187516,90783723,90783723,1
r01-o147-rust-avx2-int-32768,1,rust,avx2,int,32768,65536,62031860,536870912,536870912,136158044,404422937,136158044,62058142,62058142,1
r01-o148-go-scalar-short-8388608,1,go,scalar,short,8388608,256,783516174,0,0,1710181452,5369174358,1710181682,782117969,782117969,true
r01-o149-cpp-avx2-int-8388608,1,cpp,avx2,int,8388608,256,152216357,536870912,536870912,334106508,268442737,334106498,152251339,152251339,1
r01-o150-c-avx2-string16-1048576,1,c,avx2,string16,1048576,2048,86751981,2147483648,2147483648,190416872,469809541,190416864,86781403,86781403,1
r01-o151-cpp-scalar-string16-262144,1,cpp,scalar,string16,262144,8192,917715679,2147483648,2147483648,2013942405,4831904128,2013942414,917600085,917600085,1
r01-o152-cpp_unroll-u1-double-8388608,1,cpp_unroll,u1,double,8388608,256,383058170,0,0,840786185,1073743889,840786188,383095702,383095702,1
r01-o153-cpp_unroll-u2-double-8388608,1,cpp_unroll,u2,double,8388608,256,384588583,0,0,843742291,671091230,843742306,384471760,384471760,1
r01-o154-cpp_native-scalar-double-8388608,1,cpp_native,scalar,double,8388608,256,384986376,0,0,845018932,671091473,845018966,385024064,385024064,1
r01-o155-go-scalar-string16-32768,1,go,scalar,string16,32768,65536,2269638712,2147483648,2147483648,4969378778,12617298395,4969381494,2267349332,2267349332,true
r01-o156-rust-scalar-string16-262144,1,rust,scalar,string16,262144,8192,669582050,2147483648,2147483648,1469321004,4697686295,1469321040,669470034,669470034,1
r01-o157-c-avx2-string16-32768,1,c,avx2,string16,32768,65536,61920570,2147483648,2147483648,135913839,471269765,135913822,61948061,61948061,1
r01-o158-c-avx2-double-32768,1,c,avx2,double,32768,65536,90305629,0,0,198200948,269812097,198200904,90332224,90332224,1
r01-o159-c-scalar-double-32768,1,c,scalar,double,32768,65536,367207028,0,0,805609075,1074200961,805609134,367086222,367086222,1
r01-o160-cpp_native-scalar-int-67108864,1,cpp_native,scalar,int,67108864,32,357937037,536870912,536870912,785645844,2147484144,785645850,357971085,357971085,1
r01-o161-clangpp-scalar-short-1048576,1,clangpp,scalar,short,1048576,2048,491414449,0,0,1078238229,1476414575,1078238282,491299960,491299960,1
r01-o162-cpp_native-scalar-double-262144,1,cpp_native,scalar,double,262144,8192,366919422,0,0,805361176,671170833,805361172,366949972,366949972,1
r01-o163-rust-avx2-float-262144,1,rust,avx2,float,262144,8192,101377742,0,0,222486191,402858264,222486176,101407378,101407378,1
r01-o164-cpp_unroll-u2-float-67108864,1,cpp_unroll,u2,float,67108864,32,765857487,0,0,1680621950,1610613332,1680621910,765751281,765751281,1
r01-o165-rust-scalar-string16-8388608,1,rust,scalar,string16,8388608,256,707160381,2147483648,2147483648,1551780468,4697622807,1551780450,707049548,707049548,1
r01-o166-rust_unroll-u2-double-8388608,1,rust_unroll,u2,double,8388608,256,397831639,0,0,873211121,1610615573,873211130,397866611,397866611,1
r01-o167-cpp_unroll-u2-double-32768,1,cpp_unroll,u2,double,32768,65536,366925756,0,0,805375282,671678748,805375274,366954422,366954422,1
r01-o168-go-scalar-string16-8388608,1,go,scalar,string16,8388608,256,2308842313,2147483648,2147483648,5045578085,12617046348,5045579154,2304648783,2304648783,true
r01-o169-c-scalar-string16-1048576,1,c,scalar,string16,1048576,2048,919624188,2147483648,2147483648,2018114003,4831854976,2018114010,919503523,919503523,1
r01-o170-c-avx2-int-262144,1,c,avx2,int,262144,8192,57906941,536870912,536870912,127104239,268657009,127104252,57934413,57934413,1
r01-o171-clangpp-scalar-int-32768,1,clangpp,scalar,int,32768,65536,244604279,536870912,536870912,536891232,738788487,536891234,244632746,244632746,1
r01-o172-cpp_native-scalar-string16-262144,1,cpp_native,scalar,string16,262144,8192,667605880,2147483648,2147483648,1464967369,4697678097,1464967372,667490086,667490086,1
r01-o173-clangpp-scalar-string16-67108864,1,clangpp,scalar,string16,67108864,32,709714534,2147483648,2147483648,1557770847,4697621877,1557770874,709749753,709749753,1
r01-o174-c-avx2-float-67108864,1,c,avx2,float,67108864,32,164460285,0,0,360566190,268437353,360566206,164346586,164346586,1
r01-o175-rust_unroll-u1-double-32768,1,rust_unroll,u1,double,32768,65536,366919852,0,0,805361872,1074069788,805361854,366949147,366949147,1
r01-o176-cpp-avx2-short-32768,1,cpp,avx2,short,32768,65536,36947795,0,0,81100685,271253878,81100690,36975363,36975363,1
r01-o177-rust-avx2-float-1048576,1,rust,avx2,float,1048576,2048,101994182,0,0,223856553,402704664,223856556,102022558,102022558,1
r01-o178-go-scalar-string16-262144,1,go,scalar,string16,262144,8192,2268996856,2147483648,2147483648,4967133352,12616724998,4967135074,2266575425,2266575425,true
r01-o179-cpp_unroll-u2-float-32768,1,cpp_unroll,u2,float,32768,65536,734554593,0,0,1611926488,1611268372,1611926514,734440603,734440603,1
r01-o180-clangpp-scalar-float-1048576,1,clangpp,scalar,float,1048576,2048,734081584,0,0,1610877806,738217123,1610877840,733967618,733967618,1
r01-o181-cpp_native-scalar-float-32768,1,cpp_native,scalar,float,32768,65536,734005887,0,0,1610708992,1342832915,1610708968,733888172,733888172,1
r01-o182-c-avx2-string16-67108864,1,c,avx2,string16,67108864,32,164739752,2147483648,2147483648,361594102,469763173,361594090,164773617,164773617,1
r01-o183-rust-scalar-float-1048576,1,rust,scalar,float,1048576,2048,734025950,0,0,1610757675,2147494174,1610757676,733912630,733912630,1
r01-o184-rust_unroll-u1-float-32768,1,rust_unroll,u1,float,32768,65536,733906204,0,0,1610866776,2147811614,1610866818,733934871,733934871,1
r01-o185-rust_unroll-u1-float-1048576,1,rust_unroll,u1,float,1048576,2048,734125050,0,0,1610966313,2147494176,1610966324,734008612,734008612,1
r01-o186-cpp-avx2-string16-262144,1,cpp,avx2,string16,262144,8192,75655670,2147483648,2147483648,166061850,469950853,166061852,75684659,75684659,1
r01-o187-rust_unroll-u2-float-32768,1,rust_unroll,u2,float,32768,65536,734514246,0,0,1611823385,3221881112,1611823400,734396622,734396622,1
r01-o188-cpp_native-scalar-short-8388608,1,cpp_native,scalar,short,8388608,256,665151913,0,0,1459556457,4294969362,1459556428,665029877,665029877,1
r01-o189-cpp-avx2-short-1048576,1,cpp,avx2,short,1048576,2048,76828095,0,0,168634717,268523894,168634730,76856965,76856965,1
r01-o190-rust-avx2-string16-262144,1,rust,avx2,string16,262144,8192,86495399,2147483648,2147483648,189853457,537035032,189853444,86523707,86523707,1
r01-o191-cpp_unroll-u8-double-1048576,1,cpp_unroll,u8,double,1048576,2048,366934194,0,0,805394038,369117468,805394018,366962978,366962978,1
r01-o192-cpp-scalar-float-1048576,1,cpp,scalar,float,1048576,2048,734086519,0,0,1610877900,2147498342,1610877928,733969374,733969374,1
